#{"t_start": 1769508235.4304972, "env_id": "None"}
r,l,t
-0.575365,73,68.884022
-0.622103,73,69.081426
-0.592802,73,69.306372
-0.579574,73,69.501162
-0.599518,73,69.710614
-0.629249,73,69.937791
-0.5611,73,70.133192
-0.647798,73,70.334414
-0.598688,73,70.541891
-0.600809,73,73.060128
-0.663792,73,73.25155
-0.557325,73,73.462659
-0.605316,73,73.650467
-0.56141,73,73.842856
-0.587192,73,74.029532
-0.607313,73,74.22216
-0.581923,73,74.420593
-0.571673,73,74.604518
-0.558869,73,74.786512
-0.591833,73,74.970234
-0.568578,73,75.153512
-0.631942,73,75.337255
-0.607976,73,75.522809
-0.551484,73,75.710549
-0.564099,73,75.898081
-0.590132,73,76.088864
-0.54299,73,76.272995
-0.573268,73,76.467295
-0.589801,73,76.65802
-0.628559,73,76.844138
-0.548703,73,77.730951
-0.568688,73,77.917513
-0.594235,73,78.105194
-0.583653,73,78.293045
-0.613962,73,78.489583
-0.577179,73,78.677121
-0.590392,73,78.878433
-0.603176,73,81.382749
-0.584891,73,81.579279
-0.535647,73,81.775062
-0.568461,73,81.983793
-0.565375,73,82.206929
-0.562882,73,82.40642
-0.581712,73,82.602754
-0.563895,73,82.8028
-0.603544,73,82.996238
-0.579933,73,83.199733
-0.563891,73,83.388902
-0.584111,73,83.584758
-0.568913,73,83.769099
-0.595683,73,83.961606
-0.568901,73,84.16157
-0.612708,73,84.351872
-0.570954,73,84.588675
-0.571988,73,84.793899
-0.567311,73,84.984016
-0.571905,73,85.179993
-0.598967,73,85.380763
-0.574767,73,85.578943
-0.577574,73,85.774091
-0.565183,73,85.968563
-0.574407,73,86.162189
-0.56964,73,86.356243
-0.563432,73,86.561089
-0.539714,73,86.768547
-0.554034,73,89.258197
-0.561036,73,89.453032
-0.573507,73,89.636651
2.058495,215,90.18917
-0.55766,73,90.382116
-0.563909,73,90.568907
-0.567278,73,90.755759
-0.543971,73,90.960519
-0.58925,73,91.147392
-0.550704,73,91.335743
-0.551365,73,91.525566
-0.568516,73,91.716337
-0.549141,73,91.90589
-0.553672,73,92.096668
-0.557759,73,92.278394
-0.544519,73,92.466281
-0.578915,73,92.675143
-0.56654,73,92.860456
-0.563881,73,93.044451
-0.569511,73,93.243302
-0.556414,73,93.43815
-0.557573,73,93.630765
-0.556328,73,93.850201
-0.563166,73,94.124874
-0.558548,73,94.358897
-0.566382,73,94.590225
-0.572271,73,97.043278
-0.557015,73,97.267106
-0.561881,73,97.456937
-0.34589,90,97.684259
-0.58647,73,97.88405
-0.360698,55,98.021048
-0.566127,73,98.812329
-0.569585,73,99.022855
-0.549297,73,99.22114
