#{"t_start": 1769509458.3543575, "env_id": "None"}
r,l,t
2.041323,279,152.382736
-0.563924,179,152.912442
-0.247876,135,153.312359
-0.240394,142,153.730642
2.075075,189,154.324913
-0.513534,145,154.739029
2.058085,176,155.253767
2.064965,226,158.419837
2.060487,191,158.890892
2.061553,237,159.530345
-0.255056,136,159.86395
2.031254,243,160.479188
2.044705,222,161.033678
-0.357909,77,161.223663
2.076391,175,161.667237
2.074706,173,162.097807
-0.359118,51,162.224134
2.040189,201,162.7327
2.040524,207,165.729904
2.03775,173,166.162122
2.039096,218,166.697617
2.066512,293,167.440936
-0.350337,76,167.624323
2.051709,174,168.060243
2.086687,195,170.183184
2.046132,299,170.985465
-0.367417,76,171.177387
-0.356777,53,171.310902
2.065728,177,171.778605
2.068669,181,172.241519
2.110528,183,175.1839
2.068432,182,175.628439
2.041466,174,176.05392
2.062614,175,176.497352
2.053103,173,176.934522
2.045178,239,177.558612
-0.34603,79,177.757913
2.061775,176,178.211027
2.079979,180,178.680974
2.046093,205,179.195271
2.051429,176,179.639302
2.056771,232,182.697507
2.045243,224,183.260648
2.052743,178,183.699806
2.062215,239,184.299785
2.038083,218,184.842811
2.041107,178,185.289663
2.035491,199,185.782066
2.077655,198,186.283616
-0.35919,52,186.421468
2.070229,269,187.095963
2.036166,220,189.363055
2.043181,226,192.340196
2.060146,275,193.017131
-0.354864,53,193.151659
2.036211,355,194.0432
2.051144,173,194.508466
2.042964,239,195.113784
-0.411108,189,195.580669
2.023948,245,196.196956
2.032561,235,196.804944
2.053254,264,199.88156
2.039357,306,200.659053
2.058287,223,201.218499
2.03118,308,201.992667
2.050064,221,202.564608
2.056091,195,203.049431
2.049881,172,203.481515
2.062463,173,203.937578
-0.351178,53,204.069229
2.06666,188,204.558375
2.047494,407,207.986843
2.069368,193,208.466851
-0.248647,135,208.823061
2.042271,227,211.146749
2.029759,252,211.821826
2.058266,225,212.389065
2.048829,174,212.826424
2.115774,214,213.368047
2.046482,239,213.981292
